loan_id,application_id,customer_id,disbursement_date,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,current_outstanding,days_past_due,default_flag,write_off_flag,closure_date
LOAN00000046,APP00000060,CUST0000876,2026-04-21,35500.0,19.86,9,4277.99,Active,28057.99,0,0,0,
LOAN00000047,APP00000061,CUST0023299,2026-05-27,47500.0,19.0,3,16337.35,Active,31914.73,0,0,0,
LOAN00000048,APP00000063,CUST0012385,2026-02-21,16000.0,27.74,3,5581.79,Closed,0.0,0,0,0,2026-05-24
LOAN00000049,APP00000064,CUST0020052,2026-05-13,7000.0,27.61,6,1262.4,Active,5898.66,0,0,0,
LOAN00000050,APP00000067,CUST0024475,2025-12-28,75000.0,28.56,36,3125.0,Written Off,53778.17,302,1,1,
LOAN00000051,APP00000068,CUST0010988,2025-09-23,45500.0,25.88,9,5616.21,Closed,0.0,0,0,0,2026-06-30
LOAN00000052,APP00000069,CUST0002054,2026-05-01,23000.0,17.76,6,4034.33,Active,19306.07,0,0,0,
LOAN00000053,APP00000070,CUST0006190,2026-03-10,163000.0,24.58,12,15459.0,Active,166125.63,88,0,0,
LOAN00000054,APP00000072,CUST0008883,2025-08-14,100000.0,24.73,18,6705.94,Active,55599.07,4,0,0,
LOAN00000055,APP00000074,CUST0023699,2025-11-12,157000.0,31.12,24,8869.08,Defaulted,129857.69,158,1,0,
LOAN00000056,APP00000075,CUST0018285,2026-06-23,35000.0,25.2,24,1871.52,Active,35000.0,0,0,0,
LOAN00000057,APP00000077,CUST0011187,2026-04-17,232000.0,24.9,24,12370.56,Active,216730.08,0,0,0,
LOAN00000058,APP00000078,CUST0004755,2025-09-09,71500.0,28.93,36,2993.54,Written Off,42011.7,278,1,1,
LOAN00000059,APP00000082,CUST0023920,2025-10-18,85500.0,19.42,36,3152.28,Active,70523.28,0,0,0,
LOAN00000060,APP00000084,CUST0016085,2026-01-01,51500.0,18.72,12,4739.18,Active,33682.52,17,0,0,
LOAN00000061,APP00000085,CUST0022671,2025-06-28,37000.0,24.95,3,12849.71,Closed,0.0,0,0,0,2025-10-02
LOAN00000062,APP00000087,CUST0024120,2025-06-18,121000.0,24.78,12,11487.43,Closed,0.0,0,0,0,2026-06-23
LOAN00000063,APP00000088,CUST0020574,2026-01-12,68500.0,27.13,12,6581.54,Defaulted,65428.53,90,1,0,
LOAN00000064,APP00000091,CUST0013335,2026-05-20,386500.0,28.97,24,21405.92,Active,374424.83,0,0,0,
LOAN00000065,APP00000092,CUST0003672,2025-11-05,30500.0,20.7,18,1985.56,Active,19739.81,0,0,0,
LOAN00000066,APP00000094,CUST0020945,2026-05-22,46000.0,21.29,18,3007.71,Active,43808.41,0,0,0,
LOAN00000067,APP00000096,CUST0002985,2025-01-06,286000.0,26.08,24,15419.67,Active,99134.34,0,0,0,
LOAN00000068,APP00000097,CUST0004542,2025-11-11,73000.0,16.02,18,4589.21,Active,46661.16,0,0,0,
LOAN00000069,APP00000098,CUST0007505,2026-01-05,256000.0,26.48,12,24515.55,Active,184537.51,27,0,0,
LOAN00000070,APP00000101,CUST0010209,2025-05-07,49500.0,15.92,6,8637.28,Closed,0.0,0,0,0,2025-11-24
LOAN00000071,APP00000102,CUST0002587,2026-03-23,250000.0,30.49,12,24432.08,Defaulted,269301.48,122,1,0,
LOAN00000072,APP00000107,CUST0013197,2026-04-04,186000.0,18.98,36,6816.14,Active,178190.24,0,0,0,
LOAN00000073,APP00000108,CUST0024013,2025-09-04,26500.0,22.5,1,26996.87,Closed,0.0,0,0,0,2025-10-23
LOAN00000074,APP00000109,CUST0013530,2026-03-02,24500.0,19.54,1,24898.94,Closed,0.0,0,0,0,2026-04-08
LOAN00000075,APP00000111,CUST0001200,2026-04-01,20000.0,17.96,1,20299.33,Active,33326.66,0,0,0,
LOAN00000076,APP00000114,CUST0004748,2025-06-24,37500.0,21.44,3,12949.3,Closed,0.0,0,0,0,2025-10-06
LOAN00000077,APP00000117,CUST0018209,2025-03-20,324500.0,24.39,24,17219.9,Active,160417.05,15,0,0,
LOAN00000078,APP00000118,CUST0022108,2025-09-24,275500.0,21.78,24,14262.52,Active,185824.92,0,0,0,
LOAN00000079,APP00000119,CUST0011601,2025-01-12,159000.0,28.15,18,10930.83,Active,10680.34,0,0,0,
LOAN00000080,APP00000121,CUST0016832,2025-08-28,34500.0,25.75,24,1854.33,Defaulted,23671.23,148,1,0,
LOAN00000081,APP00000122,CUST0006807,2026-06-16,365000.0,25.93,24,19651.33,Active,365000.0,0,0,0,
LOAN00000082,APP00000123,CUST0007606,2026-01-12,17500.0,24.6,12,1659.88,Defaulted,15047.49,105,1,0,
LOAN00000083,APP00000124,CUST0000737,2026-05-22,65500.0,19.37,12,6047.83,Active,60509.45,0,0,0,
LOAN00000084,APP00000125,CUST0009322,2026-06-17,258500.0,28.9,9,32290.52,Active,258500.0,0,0,0,
LOAN00000085,APP00000126,CUST0005801,2025-07-31,35500.0,23.2,6,6323.42,Closed,0.0,0,0,0,2026-02-16
LOAN00000086,APP00000127,CUST0018444,2026-06-08,43500.0,22.53,9,5298.31,Active,43500.0,0,0,0,
LOAN00000087,APP00000132,CUST0012569,2026-01-09,58000.0,27.78,12,5591.11,Active,35751.41,0,0,0,
LOAN00000088,APP00000133,CUST0023099,2026-04-03,177000.0,29.66,9,22176.2,Defaulted,186672.67,211,1,0,
LOAN00000089,APP00000134,CUST0023776,2026-06-26,32000.0,18.26,1,32486.93,Active,32000.0,0,0,0,
LOAN00000090,APP00000135,CUST0017450,2025-11-14,18500.0,27.01,1,18916.4,Defaulted,16596.6,138,1,0,
LOAN00000091,APP00000136,CUST0015405,2025-12-18,53500.0,15.5,24,2606.76,Active,41628.06,0,0,0,
LOAN00000092,APP00000137,CUST0021150,2025-03-14,71500.0,20.12,9,8625.21,Closed,0.0,0,0,0,2025-12-28
LOAN00000093,APP00000139,CUST0024502,2024-03-22,19500.0,24.44,3,6766.55,Closed,0.0,0,0,0,2024-06-23
LOAN00000094,APP00000140,CUST0006583,2025-01-29,10500.0,27.09,1,10737.04,Written Off,9306.75,165,1,1,
LOAN00000095,APP00000143,CUST0024436,2026-06-13,56000.0,20.87,18,3650.2,Active,56000.0,0,0,0,
LOAN00000096,APP00000144,CUST0015833,2025-06-10,130000.0,23.73,24,6855.74,Active,72601.99,0,0,0,
LOAN00000097,APP00000146,CUST0020078,2026-05-12,63500.0,18.47,1,64477.37,Active,0.0,0,0,0,
LOAN00000098,APP00000147,CUST0016876,2026-03-23,48000.0,31.11,12,4705.63,Defaulted,48387.32,125,1,0,
LOAN00000099,APP00000148,CUST0006387,2026-06-30,18500.0,24.09,1,18871.39,Active,18500.0,0,0,0,
LOAN00000100,APP00000149,CUST0024251,2024-05-24,330000.0,25.5,36,13208.17,Active,147689.69,33,0,0,
LOAN00000101,APP00000150,CUST0022365,2025-09-21,41500.0,16.73,6,7258.06,Closed,0.0,0,0,0,2026-04-07
LOAN00000102,APP00000151,CUST0007598,2026-05-19,105500.0,20.34,18,6849.77,Active,100438.46,0,0,0,
LOAN00000103,APP00000152,CUST0008189,2026-04-16,115000.0,22.17,24,5975.65,Active,107226.8,0,0,0,
LOAN00000104,APP00000154,CUST0005712,2025-09-22,76000.0,16.67,6,13289.61,Closed,0.0,0,0,0,2026-03-24
LOAN00000105,APP00000156,CUST0011594,2026-03-14,71500.0,18.7,6,12575.0,Active,49600.46,6,0,0,
LOAN00000106,APP00000162,CUST0007287,2024-06-13,30000.0,21.19,2,15398.47,Closed,0.0,0,0,0,2024-08-28
LOAN00000107,APP00000164,CUST0006273,2026-05-23,56500.0,18.43,3,19414.77,Active,37952.98,0,0,0,
LOAN00000108,APP00000167,CUST0011402,2026-03-06,13500.0,25.24,9,1662.13,Written Off,13619.97,192,1,1,
LOAN00000109,APP00000169,CUST0009379,2026-07-01,176000.0,26.1,36,7100.53,Active,176000.0,0,0,0,
LOAN00000110,APP00000172,CUST0021376,2025-06-02,17000.0,25.21,12,1617.48,Closed,0.0,0,0,0,2026-06-16
LOAN00000111,APP00000173,CUST0016014,2026-06-05,111500.0,19.31,12,10291.96,Active,111500.0,0,0,0,
LOAN00000112,APP00000174,CUST0009519,2025-09-08,181500.0,25.44,18,12234.54,Active,110955.59,26,0,0,
LOAN00000113,APP00000175,CUST0014807,2024-11-28,95500.0,24.5,36,3771.85,Active,57498.67,5,0,0,
LOAN00000114,APP00000177,CUST0007341,2025-12-08,152000.0,23.39,12,14328.23,Active,80396.4,0,0,0,
LOAN00000115,APP00000180,CUST0016401,2025-11-29,34500.0,20.99,6,6107.11,Closed,0.0,0,0,0,2026-06-15
LOAN00000116,APP00000182,CUST0022634,2025-06-08,197500.0,29.66,6,35822.15,Closed,0.0,0,0,0,2025-12-18
LOAN00000117,APP00000183,CUST0006110,2026-03-07,37000.0,21.46,1,37661.68,Closed,0.0,0,0,0,2026-04-25
LOAN00000118,APP00000186,CUST0010004,2026-03-13,104500.0,19.54,6,18422.63,Defaulted,68626.26,130,1,0,
LOAN00000119,APP00000187,CUST0004202,2025-09-03,29500.0,21.2,1,30021.17,Closed,0.0,0,0,0,2025-10-05
LOAN00000120,APP00000188,CUST0018675,2026-01-27,42500.0,19.16,6,7484.4,Active,7366.77,0,0,0,
LOAN00000121,APP00000190,CUST0013156,2024-03-09,28500.0,24.53,9,3499.05,Defaulted,13955.98,150,1,0,
LOAN00000122,APP00000191,CUST0007532,2026-05-12,33500.0,24.5,9,4112.43,Active,30071.53,0,0,0,
LOAN00000123,APP00000192,CUST0014951,2025-09-22,18500.0,21.4,3,6387.91,Closed,0.0,0,0,0,2025-12-29
LOAN00000124,APP00000194,CUST0024333,2026-01-27,17500.0,18.4,1,17768.33,Closed,0.0,0,0,0,2026-02-28
LOAN00000125,APP00000196,CUST0017431,2025-08-19,19000.0,17.37,3,6517.56,Closed,0.0,0,0,0,2025-12-02
LOAN00000126,APP00000198,CUST0017024,2026-05-13,31500.0,23.15,3,10907.71,Active,21199.98,0,0,0,
LOAN00000127,APP00000199,CUST0018578,2026-06-29,16500.0,26.07,3,5740.69,Active,16500.0,0,0,0,
LOAN00000128,APP00000200,CUST0004000,2025-11-09,144500.0,24.33,9,17726.72,Active,34403.67,0,0,0,
LOAN00000129,APP00000201,CUST0022515,2026-05-19,41500.0,17.3,24,2057.84,Active,40040.45,0,0,0,
LOAN00000130,APP00000202,CUST0023827,2026-03-23,18500.0,24.68,3,6422.04,Closed,0.0,0,0,0,2026-06-30
LOAN00000131,APP00000203,CUST0019112,2024-08-06,54500.0,20.96,1,55451.93,Closed,0.0,0,0,0,2024-09-27
LOAN00000132,APP00000204,CUST0018410,2025-07-02,12500.0,19.29,3,4301.34,Closed,0.0,0,0,0,2025-10-16
LOAN00000133,APP00000205,CUST0018796,2024-10-20,50000.0,18.76,18,3208.43,Closed,0.0,0,0,0,2026-04-22
LOAN00000134,APP00000207,CUST0009247,2025-05-16,53500.0,18.28,12,4912.01,Closed,0.0,0,0,0,2026-06-04
LOAN00000135,APP00000208,CUST0017200,2026-06-26,93000.0,19.81,18,6014.49,Active,93000.0,0,0,0,
LOAN00000136,APP00000209,CUST0008863,2026-05-16,26500.0,22.19,3,9162.01,Active,17828.02,0,0,0,
LOAN00000137,APP00000212,CUST0005501,2025-04-01,491500.0,29.05,24,27241.38,Active,239396.47,0,0,0,
LOAN00000138,APP00000213,CUST0009615,2026-01-28,149000.0,28.55,12,14419.52,Active,140986.43,72,0,0,
LOAN00000139,APP00000215,CUST0022977,2025-10-13,184500.0,26.09,12,17633.39,Active,66860.36,0,0,0,
LOAN00000140,APP00000217,CUST0022616,2026-04-15,30000.0,20.87,6,5308.73,Active,31565.35,53,0,0,
LOAN00000141,APP00000218,CUST0004548,2026-02-12,48500.0,27.74,36,1999.33,Active,51737.62,86,0,0,
LOAN00000142,APP00000221,CUST0005923,2026-06-06,84500.0,19.25,36,3108.12,Active,84500.0,0,0,0,
LOAN00000143,APP00000222,CUST0005094,2026-03-21,125500.0,23.11,24,6579.71,Active,112769.58,0,0,0,
LOAN00000144,APP00000223,CUST0017678,2026-04-03,121000.0,26.1,24,6524.93,Active,128389.25,65,0,0,
LOAN00000145,APP00000224,CUST0016980,2026-06-20,175000.0,30.84,12,17132.64,Active,175000.0,0,0,0,
LOAN00000146,APP00000228,CUST0005606,2026-04-25,252000.0,18.56,12,23170.57,Active,213155.97,0,0,0,
LOAN00000147,APP00000230,CUST0001958,2025-10-28,7500.0,25.8,1,7661.25,Closed,0.0,0,0,0,2025-12-07
LOAN00000148,APP00000232,CUST0014752,2025-03-29,58500.0,21.31,6,10364.89,Closed,0.0,0,0,0,2025-10-09
LOAN00000149,APP00000235,CUST0016678,2026-02-01,66500.0,22.65,6,11826.93,Active,28039.81,9,0,0,
LOAN00000150,APP00000236,CUST0018452,2025-06-03,51500.0,23.85,24,2719.01,Active,28776.48,0,0,0,
LOAN00000151,APP00000237,CUST0015224,2025-11-23,8000.0,25.84,3,2782.33,Closed,0.0,0,0,0,2026-02-24
LOAN00000152,APP00000238,CUST0014976,2026-06-07,39000.0,18.53,3,13403.53,Active,39000.0,0,0,0,
LOAN00000153,APP00000239,CUST0012568,2025-07-27,7000.0,17.96,12,641.63,Active,632.13,0,0,0,
LOAN00000154,APP00000242,CUST0002653,2026-01-19,32500.0,18.22,6,5708.13,Active,11497.02,21,0,0,
LOAN00000155,APP00000244,CUST0004655,2026-03-07,34000.0,19.5,6,5993.29,Active,17410.95,0,0,0,
LOAN00000156,APP00000245,CUST0001498,2025-10-27,24500.0,21.16,3,8456.36,Closed,0.0,0,0,0,2026-02-09
LOAN00000157,APP00000247,CUST0008828,2026-02-02,30000.0,24.04,3,10403.32,Closed,0.0,0,0,0,2026-05-05
LOAN00000158,APP00000248,CUST0003479,2026-04-07,18000.0,16.25,9,2137.84,Active,16539.94,29,0,0,
LOAN00000159,APP00000249,CUST0009563,2026-05-23,23500.0,22.64,1,23943.37,Active,0.0,0,0,0,
LOAN00000160,APP00000251,CUST0004530,2025-05-31,32000.0,22.04,6,5681.38,Closed,0.0,0,0,0,2025-12-11
LOAN00000161,APP00000255,CUST0011159,2026-05-08,118000.0,24.09,18,7876.04,Active,112492.81,0,0,0,
LOAN00000162,APP00000256,CUST0009542,2025-10-30,34500.0,24.44,3,11971.58,Defaulted,8968.15,122,1,0,
LOAN00000163,APP00000258,CUST0010353,2026-03-09,59000.0,21.37,18,3860.0,Active,55608.36,56,0,0,
LOAN00000164,APP00000259,CUST0002986,2026-02-21,214500.0,22.15,24,11143.76,Active,184956.7,0,0,0,
LOAN00000165,APP00000261,CUST0023849,2026-05-29,196500.0,22.07,18,12922.35,Active,187191.61,0,0,0,
LOAN00000166,APP00000262,CUST0010215,2025-12-29,38500.0,18.03,2,19684.93,Closed,0.0,0,0,0,2026-03-21
LOAN00000167,APP00000265,CUST0011013,2026-04-28,8000.0,21.75,1,8145.0,Closed,0.0,0,0,0,2026-06-14
LOAN00000168,APP00000266,CUST0005417,2026-06-28,44000.0,21.91,9,5345.97,Active,44000.0,0,0,0,
LOAN00000169,APP00000267,CUST0024169,2025-12-28,127000.0,28.89,9,15863.57,Active,65359.99,35,0,0,
LOAN00000170,APP00000270,CUST0012199,2025-07-21,31000.0,21.67,9,3762.87,Closed,0.0,0,0,0,2026-04-28
LOAN00000171,APP00000271,CUST0002259,2026-06-17,156000.0,27.96,36,6449.35,Active,156000.0,0,0,0,
LOAN00000172,APP00000272,CUST0017785,2025-09-06,15500.0,27.25,3,5403.08,Defaulted,14976.94,135,1,0,
LOAN00000173,APP00000274,CUST0000160,2025-10-29,106500.0,21.45,12,9939.63,Active,49754.97,11,0,0,
LOAN00000174,APP00000276,CUST0005490,2026-05-26,211000.0,21.06,18,13772.79,Active,200930.26,0,0,0,
LOAN00000175,APP00000277,CUST0015312,2025-02-21,13000.0,25.09,3,4515.79,Closed,0.0,0,0,0,2025-06-11
LOAN00000176,APP00000278,CUST0003163,2025-10-09,12500.0,20.65,1,12715.1,Closed,0.0,0,0,0,2025-11-16
LOAN00000177,APP00000279,CUST0017817,2024-11-08,23000.0,25.17,12,2187.91,Closed,0.0,0,0,0,2025-11-11
LOAN00000178,APP00000280,CUST0019626,2026-04-16,255000.0,28.52,12,24673.95,Defaulted,276519.97,99,1,0,
LOAN00000179,APP00000281,CUST0003488,2026-06-18,41500.0,27.16,24,2260.15,Active,41500.0,0,0,0,
LOAN00000180,APP00000282,CUST0004292,2025-05-06,50000.0,15.71,3,17104.95,Closed,0.0,0,0,0,2025-08-20
LOAN00000181,APP00000286,CUST0019744,2026-04-01,24000.0,29.81,24,1339.56,Defaulted,20402.33,148,1,0,
LOAN00000182,APP00000288,CUST0019245,2026-06-28,11000.0,25.48,12,1048.05,Active,11000.0,0,0,0,
LOAN00000183,APP00000289,CUST0005830,2026-06-13,164000.0,21.32,9,19878.96,Active,164000.0,0,0,0,
LOAN00000184,APP00000290,CUST0008209,2024-06-08,97500.0,22.5,36,3748.84,Active,43303.31,25,0,0,
LOAN00000185,APP00000292,CUST0016409,2026-06-29,130500.0,25.53,6,23397.96,Active,130500.0,0,0,0,
LOAN00000186,APP00000293,CUST0021699,2026-06-11,84500.0,23.85,6,15079.07,Active,84500.0,0,0,0,
LOAN00000187,APP00000294,CUST0009413,2026-05-05,45000.0,18.2,1,45682.5,Active,0.0,0,0,0,
LOAN00000188,APP00000295,CUST0008635,2025-01-29,60000.0,21.24,3,20712.14,Active,43301.36,0,0,0,
LOAN00000189,APP00000300,CUST0015982,2026-06-22,40500.0,21.51,1,41225.96,Active,40500.0,0,0,0,
LOAN00000190,APP00000301,CUST0023887,2026-02-26,18500.0,26.88,3,6444.97,Closed,0.0,0,0,0,2026-05-31
LOAN00000191,APP00000303,CUST0024150,2026-01-20,20000.0,22.36,6,3554.07,Active,12037.11,62,0,0,
LOAN00000192,APP00000304,CUST0006096,2026-06-12,118500.0,25.01,24,6325.12,Active,118500.0,0,0,0,
LOAN00000193,APP00000309,CUST0016464,2026-05-11,89500.0,23.68,36,3496.32,Active,87769.81,0,0,0,
LOAN00000194,APP00000310,CUST0013111,2024-12-25,131500.0,27.99,12,12689.89,Closed,0.0,0,0,0,2026-01-04
LOAN00000195,APP00000311,CUST0000319,2026-04-13,31500.0,21.85,6,5589.61,Active,31824.89,64,0,0,
LOAN00000196,APP00000312,CUST0013332,2026-03-19,9000.0,26.24,2,4648.13,Closed,0.0,0,0,0,2026-06-06
LOAN00000197,APP00000314,CUST0004445,2026-03-14,306000.0,24.8,18,20530.68,Active,262493.08,0,0,0,
LOAN00000198,APP00000315,CUST0005564,2025-12-21,24500.0,19.31,18,1578.58,Active,17101.92,0,0,0,
LOAN00000199,APP00000316,CUST0004815,2025-05-03,39000.0,16.79,12,3553.1,Closed,0.0,0,0,0,2026-05-24
LOAN00000200,APP00000319,CUST0020393,2026-02-19,53000.0,27.46,12,5100.83,Active,45894.17,52,0,0,
LOAN00000201,APP00000320,CUST0023695,2026-06-09,157500.0,27.91,9,19597.45,Active,157500.0,0,0,0,
LOAN00000202,APP00000322,CUST0008663,2024-10-03,32000.0,23.53,1,32627.47,Defaulted,32011.01,174,1,0,
LOAN00000203,APP00000326,CUST0020555,2025-04-21,41000.0,24.51,2,21130.19,Closed,0.0,0,0,0,2025-06-24
LOAN00000204,APP00000327,CUST0006006,2026-04-05,158000.0,27.72,12,15226.31,Active,134579.56,0,0,0,
LOAN00000205,APP00000328,CUST0009424,2026-03-08,8000.0,29.4,2,4147.59,Defaulted,6084.84,194,1,0,
LOAN00000206,APP00000329,CUST0007185,2025-02-25,421000.0,23.63,18,28005.51,Active,54399.08,0,0,0,
LOAN00000207,APP00000332,CUST0002666,2024-04-02,353000.0,22.54,12,33130.63,Closed,0.0,0,0,0,2025-04-15
LOAN00000208,APP00000338,CUST0003111,2026-05-22,95000.0,17.19,12,8673.02,Active,87687.86,0,0,0,
LOAN00000209,APP00000340,CUST0002394,2026-06-18,16000.0,23.7,2,8237.77,Active,16000.0,0,0,0,
LOAN00000210,APP00000341,CUST0012822,2026-06-06,144500.0,29.86,24,8068.99,Active,144500.0,0,0,0,
LOAN00000211,APP00000343,CUST0008690,2025-12-15,227000.0,20.93,36,8544.08,Active,198263.3,0,0,0,
LOAN00000212,APP00000344,CUST0018123,2025-12-15,471000.0,18.78,9,56513.18,Active,200960.02,10,0,0,
LOAN00000213,APP00000345,CUST0011179,2025-11-10,134500.0,21.73,24,6959.69,Active,101057.88,0,0,0,
LOAN00000214,APP00000347,CUST0019342,2025-11-28,43000.0,18.13,6,7550.37,Closed,0.0,0,0,0,2026-06-17
LOAN00000215,APP00000350,CUST0009503,2025-03-09,51500.0,25.25,12,4901.03,Written Off,9701.32,263,1,1,
LOAN00000216,APP00000352,CUST0016233,2024-11-14,80000.0,22.16,3,27657.56,Closed,0.0,0,0,0,
LOAN00000217,APP00000355,CUST0023736,2025-03-01,277500.0,19.42,18,17894.51,Active,51991.73,0,0,0,
LOAN00000218,APP00000358,CUST0015581,2026-04-04,165000.0,29.65,24,9195.91,Defaulted,137936.0,175,1,0,
LOAN00000219,APP00000359,CUST0001873,2025-11-04,13000.0,19.55,2,6659.27,Closed,0.0,0,0,0,2026-01-11
LOAN00000220,APP00000361,CUST0023384,2025-08-05,18000.0,20.42,1,18306.3,Closed,0.0,0,0,0,2025-09-12
LOAN00000221,APP00000364,CUST0009029,2025-04-26,345500.0,24.38,24,18332.56,Active,164401.22,0,0,0,
LOAN00000222,APP00000366,CUST0001058,2024-10-19,22000.0,26.13,3,7654.99,Defaulted,7868.3,211,1,0,
LOAN00000223,APP00000367,CUST0018074,2026-02-18,47500.0,19.5,12,4388.78,Active,39237.75,49,0,0,
LOAN00000224,APP00000368,CUST0010939,2025-01-14,19000.0,22.81,2,9771.72,Closed,0.0,0,0,0,2025-03-26
LOAN00000225,APP00000369,CUST0022985,2024-10-28,84500.0,21.93,12,7905.88,Active,12498.44,0,0,0,
LOAN00000226,APP00000370,CUST0006491,2025-10-29,89000.0,24.32,9,10917.76,Active,31504.11,55,0,0,
