loan_id,application_id,customer_id,state,city,gender,employment_type,occupation_category,income_band,monthly_income,credit_score,debt_to_income_ratio,acquisition_channel,loan_product,purpose_category,risk_band,underwriting_score,disbursement_date,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,current_outstanding,days_past_due,delinquency_bucket,default_flag,write_off_flag,total_due_amount,total_paid_amount,repayment_completion_rate,missed_payment_count,partial_payment_count,late_payment_count,avg_days_late,max_days_late,pd_score,lgd,ead,expected_credit_loss,par30_flag,par60_flag,par90_flag,risk_priority_score,risk_priority_band,total_contact_attempts,total_recovered_amount,promise_to_pay_count,last_action_date,last_contact_attempt_number,expected_recoverable_value,collections_priority_score,recommended_next_action
LOAN00003916,APP00006247,CUST0010112,Gujarat,Rajkot,Female,Small Business Owner,Food and Hospitality,Affluent,112151,669,0.85,Mobile App,Business Micro-loan,Business Expansion,Critical,27.66,2025-06-22,332000.0,31.81,36,14425.07,Defaulted,284258.42,196,Default,1,0,476027.31,140595.74,0.2954,1,2,5,7.666666666666667,51,0.593,0.68,284258.42,114624.37,1,1,1,74.82,High Priority,14.0,126886.9,4.0,2026-05-26,14.0,107335.98,66.81,Settlement offer / legal review
LOAN00018229,APP00029505,CUST0000778,Telangana,Karimnagar,Female,Self-employed,Professional Services,Affluent,106086,672,0.221,Mobile App,Personal Loan,Debt Consolidation,Medium,62.16,2026-03-10,287000.0,22.62,24,14977.05,Defaulted,302800.78,169,Default,1,0,314518.05,44931.149999999994,0.1429,0,0,1,0.38095238095238093,8,0.55,0.68,302800.78,113247.49,1,1,1,73.42,High Priority,4.0,48412.2,1.0,2026-06-18,4.0,102710.02,66.64,Settlement offer / legal review
LOAN00006844,APP00011018,CUST0002019,Karnataka,Mangaluru,Female,Small Business Owner,Small Business,Upper Mass,93886,703,0.362,Website,Business Micro-loan,Business Expansion,Critical,42.02,2025-12-08,320000.0,31.61,36,13868.22,Defaulted,332017.36,179,Default,1,0,402178.38,64448.799999999996,0.1602,1,1,3,6.620689655172414,119,0.55,0.68,332017.36,124174.49,1,1,1,74.25,High Priority,11.0,175488.9,3.0,2026-05-20,11.0,125369.76,66.45,Settlement offer / legal review
LOAN00016056,APP00025942,CUST0010106,Tamil Nadu,Coimbatore,Male,Small Business Owner,Small Business,Upper Mass,82986,663,0.125,Mobile App,Business Micro-loan,Shop Renovation,High,45.8,2025-05-22,475500.0,27.32,24,25935.0,Defaulted,312424.25,162,Default,1,0,492765.0,303438.47,0.6158,1,1,2,11.368421052631579,110,0.55,0.68,312424.25,116846.67,1,1,1,73.69,High Priority,18.0,254790.79,4.0,2026-05-22,18.0,117971.4,65.0,Settlement offer / legal review
LOAN00014463,APP00023345,CUST0020613,Uttar Pradesh,Kanpur,Female,Self-employed,Transport and Logistics,Upper Mass,61459,715,0.123,Referral,Business Micro-loan,Shop Renovation,High,56.4,2026-04-01,162000.0,27.84,18,11112.13,Defaulted,182803.63,177,Default,1,0,111121.29999999999,22224.26,0.2,0,0,0,0.0,0,0.55,0.68,182803.63,68368.56,1,1,1,69.98,High Priority,3.0,47248.94,2.0,2026-06-22,3.0,65516.82,64.28,Settlement offer / legal review
LOAN00000797,APP00001291,CUST0004874,West Bengal,Kolkata,Female,Contract Worker,Other Services,Upper Mass,67222,590,0.442,Website,Business Micro-loan,Equipment Purchase,Critical,0.0,2026-03-14,213500.0,30.25,9,26811.38,Defaulted,218569.59,204,Default,1,0,160868.28,53622.76,0.3333,0,0,2,7.166666666666667,42,0.6442,0.68,218569.59,95745.72,1,1,1,75.25,High Priority,5.0,70923.37,1.0,2026-06-29,5.0,74138.8,64.2,Settlement offer / legal review
LOAN00005876,APP00009460,CUST0001234,Maharashtra,Pune,Female,Salaried,Sales and Retail,Upper Mass,89948,718,0.222,Mobile App,Personal Loan,Debt Consolidation,Medium,61.47,2026-04-05,300000.0,20.67,18,19525.72,Defaulted,266332.59,186,Default,1,0,273360.08,39051.44,0.1429,0,0,0,0.0,0,0.55,0.68,266332.59,99608.39,1,1,1,72.37,High Priority,4.0,5500.92,0.0,2026-06-23,4.0,85226.43,64.14,Settlement offer / legal review
LOAN00010149,APP00016252,CUST0017851,Andhra Pradesh,Tirupati,Male,Small Business Owner,Small Business,Upper Mass,99715,687,0.461,Mobile App,Personal Loan,Medical Expense,Critical,44.3,2026-04-15,274500.0,27.84,24,15044.52,Defaulted,217119.96,163,Default,1,0,330979.44,15044.52,0.0455,1,0,0,3.3636363636363638,74,0.55,0.68,217119.96,81202.87,1,1,1,70.97,High Priority,0.0,0.0,0.0,No Prior Contact,0.0,69478.39,63.85,Settlement offer / legal review
LOAN00009492,APP00015184,CUST0010825,Telangana,Hyderabad,Male,Salaried,Sales and Retail,Upper Mass,92268,652,0.46,Mobile App,Personal Loan,Home Improvement,Critical,26.65,2026-03-05,274000.0,28.55,18,18891.29,Defaulted,224337.09,176,Default,1,0,264478.06,37782.58,0.1429,1,0,1,4.5,42,0.55,0.68,224337.09,83902.07,1,1,1,71.17,High Priority,2.0,0.0,0.0,2026-06-14,2.0,71787.87,63.65,Settlement offer / legal review
LOAN00007939,APP00012720,CUST0018502,Uttar Pradesh,Kanpur,Male,Self-employed,Other Services,Upper Mass,83268,721,0.322,Mobile App,Business Micro-loan,Business Expansion,Critical,38.26,2026-03-24,220500.0,28.99,18,15250.99,Defaulted,218263.26,180,Default,1,0,213513.86,30501.98,0.1429,0,1,1,2.2142857142857144,31,0.55,0.68,218263.26,81630.46,1,1,1,71.0,High Priority,4.0,42809.81,1.0,2026-05-14,4.0,74034.9,63.47,Settlement offer / legal review
LOAN00000982,APP00001595,CUST0021368,Maharashtra,Pune,Male,Salaried,IT and Services,Mass Market,37734,759,0.098,Paid Search,Personal Loan,Medical Expense,Medium,69.66,2026-04-08,208000.0,21.18,12,19385.64,Defaulted,217360.7,210,Default,1,0,116313.84,19385.64,0.1667,1,0,0,12.666666666666666,76,0.55,0.68,217360.7,81292.9,1,1,1,70.97,High Priority,4.0,59194.53,1.0,2026-06-16,4.0,73728.75,63.42,Settlement offer / legal review
LOAN00001134,APP00001822,CUST0007210,Telangana,Karimnagar,Female,Small Business Owner,Small Business,Affluent,107282,680,0.315,Partner Marketplace,Business Micro-loan,Business Expansion,Critical,36.52,2025-11-23,230000.0,30.48,36,9824.43,Defaulted,201473.72,189,Default,1,0,265259.61,47887.31,0.1805,1,2,1,2.5185185185185186,45,0.55,0.68,201473.72,75351.17,1,1,1,70.52,High Priority,13.0,152932.47,6.0,2026-06-20,13.0,76076.48,63.34,Settlement offer / legal review
LOAN00012414,APP00020021,CUST0005462,Telangana,Nizamabad,Male,Salaried,Finance and Accounting,Upper Mass,93551,676,0.303,Website,Personal Loan,Family Event,High,46.36,2026-01-01,350500.0,24.8,12,33278.99,Defaulted,269322.53,204,Default,1,0,332789.89999999997,133115.96,0.4,1,0,2,19.4,115,0.55,0.68,269322.53,100726.63,1,1,1,72.46,High Priority,12.0,64730.6,3.0,2026-06-25,12.0,101696.19,63.11,Settlement offer / legal review
LOAN00005067,APP00008123,CUST0016949,Karnataka,Mysuru,Male,Self-employed,Small Business,Upper Mass,94733,725,0.153,Mobile App,Business Micro-loan,Business Expansion,High,55.19,2024-07-05,353500.0,28.45,6,63900.95,Defaulted,192283.58,216,Default,1,0,383405.69999999995,155571.89,0.4058,2,3,1,60.333333333333336,92,0.55,0.68,192283.58,71914.06,1,1,1,70.25,High Priority,42.0,193042.23,6.0,2026-06-14,42.0,72606.28,62.83,Settlement offer / legal review
LOAN00012592,APP00020302,CUST0002865,Uttar Pradesh,Noida,Female,Small Business Owner,Trading,Affluent,119451,670,0.235,Website,Business Micro-loan,Equipment Purchase,High,55.67,2025-12-02,376500.0,28.89,12,36498.64,Defaulted,282997.94,157,Default,1,0,364986.4,171590.91,0.4701,1,1,3,19.3,117,0.55,0.68,282997.94,105841.23,1,1,1,72.85,High Priority,14.0,247329.08000000002,4.0,2026-06-29,14.0,106860.02,62.68,Settlement offer / legal review
LOAN00018296,APP00029602,CUST0007884,West Bengal,Kolkata,Male,Self-employed,Professional Services,Affluent,107956,695,0.413,Paid Search,Business Micro-loan,Business Expansion,Critical,38.53,2026-03-28,272500.0,30.25,12,26598.76,Defaulted,282554.89,189,Default,1,0,265987.6,53197.52,0.2,1,0,2,14.9,96,0.55,0.68,282554.89,105675.53,1,1,1,72.84,High Priority,6.0,0.0,0.0,2026-06-28,6.0,90417.56,62.65,Settlement offer / legal review
LOAN00001655,APP00002645,CUST0012455,Rajasthan,Udaipur,Male,Salaried,Healthcare,Upper Mass,82175,732,0.237,Mobile App,Personal Loan,Debt Consolidation,High,51.75,2026-03-22,319500.0,24.17,12,30238.08,Defaulted,246249.62,211,Default,1,0,272142.72000000003,30238.08,0.1111,1,1,1,15.333333333333334,96,0.55,0.68,246249.62,92097.36,1,1,1,71.8,High Priority,6.0,99724.97,1.0,2026-05-28,6.0,83527.87,62.63,Settlement offer / legal review
LOAN00015024,APP00024260,CUST0021901,Delhi,New Delhi,Female,Small Business Owner,Retail Business,High Income,244688,661,0.299,Website,Personal Loan,Debt Consolidation,High,52.79,2026-03-01,335000.0,25.43,12,31909.75,Defaulted,271091.3,145,Default,1,0,319097.5,65981.52,0.2068,0,2,0,7.4,53,0.55,0.68,271091.3,101388.15,1,1,1,72.51,High Priority,5.0,30088.89,2.0,2026-05-09,5.0,97159.12,62.35,Settlement offer / legal review
LOAN00004608,APP00007371,CUST0003262,Gujarat,Rajkot,Male,Self-employed,Other Services,Upper Mass,76490,629,0.529,Website,Business Micro-loan,Shop Renovation,Critical,24.1,2026-04-08,138500.0,29.52,12,13469.29,Defaulted,132543.25,192,Default,1,0,107754.32,13469.29,0.125,0,1,0,0.0,0,0.55,0.68,132543.25,49571.18,1,1,1,68.54,High Priority,1.0,0.0,1.0,2026-05-15,1.0,44958.67,62.3,Settlement offer / legal review
LOAN00018409,APP00029784,CUST0017756,Delhi,Dwarka,Female,Self-employed,Transport and Logistics,Upper Mass,63228,619,0.691,Mobile App,Business Micro-loan,Equipment Purchase,Critical,0.86,2026-04-18,292500.0,30.3,36,12465.2,Defaulted,248169.78,139,Default,1,0,311630.0,17879.41,0.0574,0,1,0,0.24,6,0.55,0.68,248169.78,92815.5,1,1,1,71.85,High Priority,0.0,0.0,0.0,No Prior Contact,0.0,79414.33,62.24,Settlement offer / legal review
LOAN00014574,APP00023504,CUST0012486,Delhi,Saket,Female,Self-employed,Other Services,Upper Mass,66420,698,0.292,Mobile App,Business Micro-loan,Working Capital,Critical,44.68,2026-04-21,248000.0,29.1,18,17166.65,Defaulted,252666.11,154,Default,1,0,257499.75000000003,17166.65,0.0667,1,0,0,3.6666666666666665,55,0.55,0.68,252666.11,94497.13,1,1,1,71.98,High Priority,2.0,0.0,0.0,2026-06-21,2.0,80853.16,62.17,Settlement offer / legal review
LOAN00020680,APP00033394,CUST0012769,Gujarat,Surat,Male,Small Business Owner,Small Business,Upper Mass,99806,677,0.36,Mobile App,Personal Loan,Medical Expense,High,57.83,2026-01-13,217500.0,26.34,24,11755.05,Defaulted,206037.15,205,Default,1,0,223345.94999999998,35265.149999999994,0.1579,1,0,2,3.210526315789474,34,0.55,0.68,206037.15,77057.89,1,1,1,70.65,High Priority,8.0,24515.16,3.0,2026-06-21,8.0,77799.63,61.99,Settlement offer / legal review
LOAN00009811,APP00015692,CUST0005430,Madhya Pradesh,Bhopal,Male,Salaried,Education,Upper Mass,84097,764,0.328,Referral,Personal Loan,Medical Expense,Medium,64.94,2026-02-28,331500.0,22.21,24,17232.01,Defaulted,364109.08,136,Default,1,0,275712.16,22081.329999999998,0.0801,2,1,0,10.75,110,0.55,0.68,364109.08,136176.8,1,1,1,75.17,High Priority,7.0,0.0,1.0,2026-06-26,7.0,123505.8,61.87,Settlement offer / legal review
LOAN00000088,APP00000133,CUST0023099,Andhra Pradesh,Visakhapatnam,Male,Salaried,Manufacturing,Upper Mass,57671,649,0.651,Referral,Personal Loan,Home Improvement,Critical,27.0,2026-04-03,177000.0,29.66,9,22176.2,Defaulted,186672.67,211,Default,1,0,177409.6,5710.82,0.0322,0,2,0,6.125,49,0.55,0.68,186672.67,69815.58,1,1,1,70.09,High Priority,4.0,34636.21,1.0,2026-06-27,4.0,63319.37,61.71,Settlement offer / legal review
LOAN00007222,APP00011593,CUST0005777,West Bengal,Kolkata,Female,Small Business Owner,Trading,Upper Mass,93876,705,0.385,Social Media,Business Micro-loan,Working Capital,High,47.72,2025-12-17,303000.0,26.73,18,20617.24,Defaulted,275861.42,167,Default,1,0,288641.36000000004,73532.37,0.2548,1,2,0,8.785714285714286,112,0.55,0.68,275861.42,103172.17,1,1,1,72.65,High Priority,13.0,33856.74,3.0,2026-06-21,13.0,104165.27,61.67,Settlement offer / legal review
LOAN00000998,APP00001615,CUST0011184,Telangana,Hyderabad,Male,Self-employed,Sales and Retail,Upper Mass,81037,623,0.388,Paid Search,Business Micro-loan,Business Expansion,Critical,21.7,2026-04-29,161500.0,30.08,18,11258.19,Defaulted,172721.94,208,Default,1,0,180131.04,15319.880000000001,0.085,0,1,0,1.75,28,0.55,0.68,172721.94,64598.01,1,1,1,69.69,High Priority,2.0,0.0,0.0,2026-06-28,2.0,55271.02,61.34,Settlement offer / legal review
LOAN00008861,APP00014218,CUST0017878,Rajasthan,Kota,Male,Small Business Owner,Trading,Upper Mass,88808,738,0.314,Partner Marketplace,Business Micro-loan,Inventory Purchase,High,50.34,2025-09-09,263500.0,27.09,36,10770.17,Defaulted,237520.71,201,Default,1,0,215403.4,63837.06,0.2964,1,2,3,8.5,67,0.55,0.68,237520.71,88832.75,1,1,1,71.55,High Priority,14.0,206809.11000000002,3.0,2026-06-22,14.0,89687.82,61.34,Settlement offer / legal review
LOAN00011454,APP00018403,CUST0022548,Uttar Pradesh,Ghaziabad,Female,Salaried,Education,Upper Mass,53274,650,0.439,Website,Personal Loan,Travel,Critical,29.64,2026-04-04,167500.0,30.04,9,21017.33,Defaulted,168582.26,198,Default,1,0,168138.64,42034.66,0.25,0,0,2,4.0,25,0.55,0.68,168582.26,63049.77,1,1,1,69.58,High Priority,2.0,0.0,0.0,2026-06-28,2.0,53946.32,61.11,Settlement offer / legal review
LOAN00002980,APP00004784,CUST0016801,Kerala,Kochi,Male,Small Business Owner,Retail Business,Upper Mass,80667,705,0.317,Mobile App,Business Micro-loan,Equipment Purchase,Critical,42.97,2025-08-13,358000.0,29.44,9,44814.74,Defaulted,192509.38,183,Default,1,0,403332.66,145960.16,0.3619,5,1,2,50.888888888888886,106,0.55,0.68,192509.38,71998.51,1,1,1,70.26,High Priority,16.0,211248.16999999998,4.0,2026-06-27,16.0,72691.54,60.84,Settlement offer / legal review
LOAN00005398,APP00008658,CUST0000894,Uttar Pradesh,Kanpur,Female,Salaried,Sales and Retail,Upper Mass,75992,708,0.242,Mobile App,Personal Loan,Home Improvement,Medium,67.84,2026-04-15,189000.0,22.62,18,12479.59,Defaulted,163625.04,181,Default,1,0,174714.26,12479.59,0.0714,1,0,0,8.214285714285714,115,0.55,0.68,163625.04,61195.76,1,1,1,69.43,High Priority,2.0,0.0,0.0,2026-06-09,2.0,52360.01,60.83,Settlement offer / legal review
LOAN00019266,APP00031194,CUST0021901,Delhi,New Delhi,Female,Small Business Owner,Retail Business,High Income,244688,661,0.299,Website,Personal Loan,Emergency Expense,High,50.18,2026-04-08,391000.0,24.4,12,37048.53,Defaulted,329270.91,96,Default,1,0,333436.77,37048.53,0.1111,1,0,0,6.0,54,0.55,0.68,329270.91,123147.32,1,1,1,74.18,High Priority,5.0,168930.16,3.0,2026-06-17,5.0,124332.7,60.78,Settlement offer / legal review
LOAN00016027,APP00025895,CUST0004668,Karnataka,Hubballi,Male,Salaried,IT and Services,Upper Mass,99800,701,0.283,DSA Agent,Personal Loan,Education,High,57.88,2025-12-27,298500.0,24.24,24,15817.8,Defaulted,266246.57,162,Default,1,0,284720.39999999997,80344.25,0.2822,0,2,1,2.8333333333333335,26,0.55,0.68,266246.57,99576.22,1,1,1,72.37,High Priority,14.0,229587.68,3.0,2026-06-29,14.0,100534.7,60.44,Settlement offer / legal review
LOAN00001493,APP00002389,CUST0002902,Maharashtra,Mumbai,Male,Self-employed,Other Services,Upper Mass,92708,696,0.127,DSA Agent,Personal Loan,Travel,Medium,65.8,2026-03-11,299500.0,21.86,12,28011.34,Defaulted,294469.43,159,Default,1,0,196079.38,84034.02,0.4286,0,0,2,7.857142857142857,43,0.55,0.68,294469.43,110131.57,1,1,1,73.18,High Priority,6.0,27229.46,0.0,2026-06-10,6.0,94230.22,60.39,Settlement offer / legal review
LOAN00018241,APP00029521,CUST0004979,West Bengal,Durgapur,Male,Salaried,IT and Services,Upper Mass,64823,651,0.327,Website,Personal Loan,Family Event,High,49.1,2025-10-05,277000.0,26.06,18,18756.52,Defaulted,219009.06,202,Default,1,0,187565.2,105260.77,0.5612,2,1,3,20.9,70,0.55,0.68,219009.06,81909.39,1,1,1,71.02,High Priority,12.0,194875.95,3.0,2026-05-22,12.0,82697.82,60.31,Settlement offer / legal review
LOAN00006755,APP00010891,CUST0013141,Gujarat,Rajkot,Male,Salaried,Sales and Retail,Upper Mass,55145,695,0.464,Mobile App,Personal Loan,Emergency Expense,High,59.31,2026-04-07,159000.0,26.19,12,15204.0,Defaulted,144210.57,185,Default,1,0,121632.0,15204.0,0.125,0,1,1,1.375,11,0.55,0.68,144210.57,53934.75,1,1,1,68.88,High Priority,5.0,53754.42,2.0,2026-06-14,5.0,51685.07,60.16,Settlement offer / legal review
LOAN00016041,APP00025917,CUST0005348,Telangana,Nizamabad,Male,Gig Worker,Delivery and Mobility,Mass Market,25466,505,0.539,Partner Marketplace,Business Micro-loan,Equipment Purchase,Critical,0.0,2026-04-04,109000.0,30.61,9,13707.61,Defaulted,104971.89,177,Default,1,0,82245.66,13707.61,0.1667,1,0,0,9.5,57,0.697,0.68,104971.89,49752.48,1,1,1,74.37,High Priority,2.0,0.0,0.0,2026-06-23,2.0,33591.0,60.13,Settlement offer / legal review
LOAN00002071,APP00003316,CUST0000728,Maharashtra,Pune,Female,Salaried,Education,Upper Mass,71188,702,0.449,Paid Search,Personal Loan,Education,High,48.66,2026-04-02,161500.0,26.49,18,10969.92,Defaulted,155511.06,199,Default,1,0,164548.8,13926.72,0.0846,0,1,0,1.4,21,0.55,0.68,155511.06,58161.14,1,1,1,69.2,High Priority,4.0,0.0,1.0,2026-06-29,4.0,52749.35,59.98,Settlement offer / legal review
LOAN00019781,APP00032018,CUST0011321,Uttar Pradesh,Ghaziabad,Female,Gig Worker,Freelance Services,Mass Market,40800,555,0.639,Mobile App,Business Micro-loan,Inventory Purchase,Critical,0.0,2025-01-14,138000.0,30.53,24,7753.67,Defaulted,67506.18,180,Default,1,0,131812.39,93573.6,0.7099,3,3,7,29.764705882352942,88,0.85,0.68,67506.18,39018.57,1,1,1,80.18,Critical Priority,21.0,54662.63,4.0,2026-06-28,21.0,25490.33,59.96,Settlement offer / legal review
LOAN00018282,APP00029583,CUST0006081,West Bengal,Howrah,Female,Salaried,Sales and Retail,Upper Mass,65192,694,0.145,Mobile App,Personal Loan,Family Event,Medium,62.53,2025-12-02,322500.0,22.68,9,39304.08,Defaulted,282442.57,178,Default,1,0,235824.48,157216.32,0.6667,2,0,3,25.666666666666668,56,0.55,0.68,282442.57,105633.52,1,1,1,72.84,High Priority,8.0,26452.6,0.0,2026-06-18,8.0,90381.62,59.96,Settlement offer / legal review
LOAN00008008,APP00012831,CUST0005530,Telangana,Warangal,Male,Small Business Owner,Retail Business,Upper Mass,97090,657,0.231,Mobile App,Business Micro-loan,Inventory Purchase,Critical,38.68,2026-03-09,184500.0,31.14,24,10424.49,Defaulted,194556.83,183,Default,1,0,145942.86,20848.98,0.1429,0,1,2,3.0714285714285716,28,0.55,0.68,194556.83,72764.25,1,1,1,70.32,High Priority,6.0,72944.18,1.0,2026-06-20,6.0,65993.68,59.75,Settlement offer / legal review
LOAN00018206,APP00029471,CUST0018900,Karnataka,Bengaluru,Male,Salaried,Education,Upper Mass,67779,689,0.387,Referral,Personal Loan,Travel,Critical,39.58,2026-03-29,127500.0,28.83,12,12356.35,Defaulted,136504.71,204,Default,1,0,135919.85,12356.35,0.0909,1,0,1,8.636363636363637,95,0.55,0.68,136504.71,51052.76,1,1,1,68.66,High Priority,5.0,0.0,2.0,2026-06-30,5.0,48923.29,59.73,Settlement offer / legal review
LOAN00010266,APP00016457,CUST0020113,Telangana,Warangal,Male,Self-employed,Other Services,Upper Mass,64270,720,0.336,DSA Agent,Personal Loan,Emergency Expense,Critical,39.68,2026-02-06,209000.0,26.57,24,11319.96,Defaulted,150853.82,198,Default,1,0,226399.19999999998,22639.92,0.1,1,0,2,6.75,100,0.55,0.68,150853.82,56419.33,1,1,1,69.07,High Priority,4.0,40628.22,1.0,2026-04-27,4.0,51169.62,59.72,Settlement offer / legal review
LOAN00015442,APP00024927,CUST0009970,Telangana,Karimnagar,Female,Salaried,Sales and Retail,Upper Mass,67984,715,0.245,Partner Marketplace,Personal Loan,Home Improvement,Medium,67.07,2025-12-13,291500.0,21.3,12,27184.65,Defaulted,206441.34,196,Default,1,0,271846.5,92980.49,0.342,2,1,0,16.4,116,0.55,0.68,206441.34,77209.06,1,1,1,70.66,High Priority,12.0,112521.13,3.0,2026-06-28,12.0,77952.25,59.61,Settlement offer / legal review
LOAN00004173,APP00006676,CUST0010578,Telangana,Nizamabad,Female,Self-employed,Other Services,Upper Mass,51794,749,0.368,DSA Agent,Business Micro-loan,Inventory Purchase,High,58.26,2026-02-14,145000.0,27.38,24,7913.09,Defaulted,134193.85,188,Default,1,0,150348.71,21758.17,0.1447,0,1,2,2.1052631578947367,20,0.55,0.68,134193.85,50188.5,1,1,1,68.59,High Priority,5.0,34809.4,2.0,2026-06-30,5.0,48095.08,59.6,Settlement offer / legal review
